index,date,open,high,low,close,volume
8045,2018-10-17,48.55,48.635,47.81,48.2725,22885397.0
8046,2018-10-18,47.44,47.91,46.225,46.98,32581315.0
8047,2018-10-19,47.49,48.29,47.3325,47.8025,33078726.0
8048,2018-10-22,47.9225,48.815,47.71,48.1375,28792082.0
8049,2018-10-23,46.9325,48.7875,46.65,48.6575,38767846.0
8050,2018-10-24,48.625,49.0325,46.61,46.7475,40925163.0
8051,2018-10-25,47.4025,48.32,47.1625,47.925,29855768.0
8052,2018-10-26,46.95,48.0225,46.1425,47.05,47258375.0
8053,2018-10-29,47.7725,47.8975,44.4975,46.035,45935520.0
8054,2018-10-30,45.7625,46.77,45.2925,46.3,36659990.0
8055,2018-10-31,47.195,48.0875,47.13,47.69,38358933.0
8056,2018-11-01,47.7375,48.565,47.1775,48.53,58323180.0
8057,2018-11-02,45.3625,46.3875,44.3325,44.845,91328654.0
8058,2018-11-05,44.05,44.0725,42.5175,43.3725,66163669.0
8059,2018-11-06,43.455,44.155,43.3975,43.9175,31882881.0
8060,2018-11-07,44.4675,45.49,44.0075,45.4625,33424434.0
8061,2018-11-08,45.6525,45.6875,44.845,45.28,25362636.0
8062,2018-11-09,44.545,44.66,43.72,44.275,34365750.0
8063,2018-11-12,42.9075,43.12,41.605,41.7,51135518.0
8064,2018-11-13,41.065,42.4525,41.02,41.215,46882936.0
8065,2018-11-14,41.6325,41.7775,39.64,39.8575,60800957.0
8066,2018-11-15,40.255,41.15,39.8825,41.01,46478801.0
8067,2018-11-16,40.7825,41.9,40.5225,41.54,36928253.0
8068,2018-11-19,40.6575,40.8325,39.405,39.6225,41920872.0
8069,2018-11-20,37.75,38.525,37.035,37.4025,67825247.0
8070,2018-11-21,38.09,38.225,37.295,37.3525,31124210.0
8071,2018-11-23,36.8925,37.3075,36.1825,36.23,23623972.0
8072,2018-11-26,36.7175,36.895,35.7225,36.8125,44998520.0
8073,2018-11-27,36.035,36.85,35.8775,36.7175,41387377.0
8074,2018-11-28,37.34,38.48,36.89,38.3925,46062539.0
8075,2018-11-29,38.8225,38.8575,37.5825,38.045,41769992.0
8076,2018-11-30,38.23,38.24,37.415,37.8025,39531549.0
8077,2018-12-03,39.2725,39.3925,38.46,39.3625,40798002.0
8078,2018-12-04,38.395,38.755,37.225,37.33,41344282.0
8079,2018-12-06,36.0975,36.8525,35.7625,36.8375,43098410.0
8080,2018-12-07,36.53,36.78,35.2325,35.28,42281631.0
8081,2018-12-10,34.4075,35.68,33.99,35.5575,62025994.0
8082,2018-12-11,36.0725,36.105,34.9075,35.315,47281665.0
8083,2018-12-12,35.7575,36.1375,35.4125,35.4325,35627674.0
8084,2018-12-13,35.78,36.3,35.545,35.895,31897827.0
8085,2018-12-14,35.4075,35.4275,34.4775,34.5275,40703710.0
8086,2018-12-17,34.52,35.245,33.84,34.1425,44287922.0
8087,2018-12-18,34.5025,35.04,34.255,34.675,33841518.0
8088,2018-12-19,34.6575,35.02,32.93,33.38,49047297.0
8089,2018-12-20,33.2575,33.685,31.9825,32.365,64772960.0
8090,2018-12-21,32.3725,32.6975,30.565,30.84,95744384.0
8091,2018-12-24,30.195,31.045,29.805,29.865,37169232.0
8092,2018-12-26,30.2325,32.465,29.8375,32.45,58582544.0
8093,2018-12-27,32.1175,32.35,30.675,32.195,53117065.0
8094,2018-12-28,32.5325,32.7875,31.795,32.215,42291424.0
8095,2018-12-31,32.79,32.995,32.285,32.5925,35003466.0
8096,2019-01-02,31.88,32.87,31.715,32.6375,37039737.0
8097,2019-01-03,29.1525,29.5875,28.6575,28.705,91312195.0
8098,2019-01-04,29.29,30.295,29.1075,30.2225,58607070.0
8099,2019-01-07,30.3325,30.365,29.6325,30.14,54777764.0
8100,2019-01-08,30.5475,31.1125,30.2875,30.845,41025314.0
8101,2019-01-09,30.98,31.79,30.565,31.485,45099081.0
8102,2019-01-10,31.2825,31.65,30.8725,31.6075,35780670.0
8103,2019-01-11,31.3775,31.5825,31.035,31.23,27023241.0
8104,2019-01-14,30.87,30.975,30.4625,30.6575,32439186.0
8105,2019-01-15,30.725,31.505,30.67,31.425,28710324.0
8106,2019-01-16,31.4275,32.1275,31.4075,31.8925,30569706.0
8107,2019-01-17,31.7075,32.5725,31.4725,32.1225,29821160.0
8108,2019-01-18,32.5575,32.625,32.1525,32.3625,33751023.0
8109,2019-01-22,32.26,32.34,31.3125,31.4825,30393970.0
8110,2019-01-23,31.695,31.9425,31.0825,31.6375,23130570.0
8111,2019-01-24,31.685,31.7775,31.0925,31.3325,25441549.0
8112,2019-01-25,32.0275,32.69,31.7375,32.5975,33547893.0
8113,2019-01-28,32.105,32.24,31.5725,32.2325,26192058.0
8114,2019-01-29,32.22,32.69,31.685,31.8275,41587239.0
8115,2019-01-30,33.97,34.695,33.215,34.47,61109780.0
8116,2019-01-31,34.685,35.4075,34.2975,34.7675,40739649.0
8117,2019-02-01,34.8975,35.4025,34.64,34.7875,32668138.0
8118,2019-02-04,35.01,36.0725,34.9775,35.97,31495582.0
8119,2019-02-05,36.3725,36.9275,36.245,36.7025,36101628.0
8120,2019-02-06,36.82,37.05,36.37,36.7175,28239591.0
8121,2019-02-07,36.2575,36.6425,35.7425,35.8925,31741690.0
8122,2019-02-08,35.5875,36.005,35.445,35.9425,23819966.0
8123,2019-02-11,36.1025,36.1425,35.6525,35.6975,20993425.0
8124,2019-02-12,35.865,36.09,35.765,36.0625,22283523.0
8125,2019-02-13,36.1875,36.46,35.82,35.885,22490233.0
8126,2019-02-14,35.7675,36.155,35.685,36.04,21835747.0
8127,2019-02-15,36.1525,36.265,35.7775,35.945,24626814.0
8128,2019-02-19,35.7675,36.2,35.7125,36.0725,18972826.0
8129,2019-02-20,36.1375,36.67,36.0875,36.3475,26114362.0
8130,2019-02-21,36.29,36.4325,35.915,36.105,17249670.0
8131,2019-02-22,36.235,36.59,36.185,36.5825,18913154.0
